videos,first_frame,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,focus.started,image.started,focus.stopped,trial.started,movie.started,etRecord.started,etRecord.stopped,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
video/Sphere_init3_speed1/original/0001-0150.avi,video/First_frame/Sphere_init3_speed1_original_0001-0150.jpg,0,0,0,8,0.12986049999017268,,0.019454499939456582,0.12986049999017268,1.0132395999971777,1.013247099937871,1.1131652999902144,0.053985799895599484,1.0958644999191165,7.329888199921697,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init4_speed1/original/0001-0150.avi,video/First_frame/Sphere_init4_speed1_original_0001-0150.jpg,0,1,1,11,7.479842799948528,,7.448454699944705,7.479842799948528,8.463140499894507,8.46314689994324,8.729838699917309,0.2195834000594914,1.2647403000155464,14.946282399934717,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init2_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init2_speed1_delta1_0001-0150.jpg,0,2,2,3,15.096511799958535,,15.061921199900098,15.096511799958535,16.063202999997884,16.063208999927156,16.329658499918878,0.2192610000493005,1.2511854000622407,22.56313769996632,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init2_speed1_perturbation/original/0001-0150.avi,video/First_frame/Sphere_init2_speed1_perturbation_original_0001-0150.jpg,0,3,3,17,22.713157799909823,,22.675032799947076,22.713157799909823,23.679953899933025,23.67996119998861,23.94634539994877,0.21996839996427298,1.2546822999138385,30.163496099994518,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init3_speed1_perturbation/delta2/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_delta2_0001-0150.jpg,0,4,4,19,30.329571199952625,,30.288672799943015,30.329571199952625,31.296530699939467,31.296537999995053,31.563118999940343,0.21978839999064803,1.2581504000118002,37.77978979994077,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init3_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init3_speed1_perturbation_delta1_0001-0150.jpg,0,5,5,18,37.92977709998377,,37.9022267999826,37.92977709998377,38.91315829998348,38.913164499914274,39.179833599948324,0.2200213000178337,1.2607636000029743,45.39643769990653,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init2_speed1_perturbation/delta1/0001-0150.avi,video/First_frame/Sphere_init2_speed1_perturbation_delta1_0001-0150.jpg,0,6,6,15,45.546338099986315,,45.51581109990366,45.546338099986315,46.52960799995344,46.52961509989109,46.79645639995579,0.22058459999971092,1.267035000026226,53.0132692999905,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init1_speed1/delta2/0001-0150.avi,video/First_frame/Sphere_init1_speed1_delta2_0001-0150.jpg,0,7,7,1,53.16307869995944,,53.130290899891406,53.16307869995944,54.146510099992156,54.14651699992828,54.41308649990242,0.21870620001573116,1.2670523000415415,60.62985279993154,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
video/Sphere_init3_speed1/delta1/0001-0150.avi,video/First_frame/Sphere_init3_speed1_delta1_0001-0150.jpg,0,8,8,6,60.77981019997969,,60.74288879998494,60.77981019997969,61.746511699981056,61.74651799991261,62.0131124999607,0.2195549999596551,1.253512299968861,68.2297781999223,160318,001,2023-11-21_16h09.14.836,PFE,2023.2.3,59.839820788027325,2023-11-21 16h09.18.714738 +0100,
,,,,,,68.39647979999427,,68.35643389995676,68.39647979999427,69.36311919998843,69.3631259999238,69.64658029994462,0.225936200004071,1.2738776999758556,,,,,,,,,
